from,to,value
オランダ,EU,798744
ドイツ,EU,1468990
EU,フランス,745931
EU,アメリカ,660541
カナダ,アメリカ,594546
ベルギー,EU,628796
中国,香港,400571
中国,アメリカ,526454
EU,イギリス,520318
中国,EU,560536
イタリア,EU,539556
メキシコ,アメリカ,492715
ロシア,EU,385778
スペイン,EU,365191
中国,日本,312062
EU,スイス,328609
韓国,中国,229073
EU,オーストリア,244913
日本,アメリカ,206091
EU,スウェーデン,204849
ドイツ,アメリカ,184287
オランダ,オランダ,0
カナダ,カナダ,0
ベルギー,ベルギー,0
イタリア,イタリア,0
メキシコ,メキシコ,0
ロシア,ロシア,0
スペイン,スペイン,0
韓国,韓国,0
ドイツ,ドイツ,0
中国,中国,0
EU,EU,0
日本,日本,0
イギリス,イギリス,0
アメリカ,アメリカ,0
フランス,フランス,0
香港,香港,0
スイス,スイス,0
オーストリア,オーストリア,0
スウェーデン,スウェーデン,0
