month,sales,fy
2018/4/1,55,2018
2018/5/1,10,2018
2018/6/1,95,2018
2018/7/1,35,2018
2018/8/1,140,2018
2018/9/1,70,2018
2018/10/1,95,2018
2018/11/1,50,2018
2018/12/1,190,2018
2019/1/1,165,2018
2019/2/1,90,2018
2019/3/1,80,2018
2019/4/1,200,2019
2019/5/1,470,2019
2019/6/1,305,2019
2019/7/1,700,2019
2019/8/1,560,2019
2019/9/1,600,2019
2019/10/1,490,2019
2019/11/1,850,2019
2019/12/1,610,2019
2020/1/1,295,2019
2020/2/1,350,2019
2020/3/1,915,2019
2020/4/1,385,2020
2020/5/1,900,2020
2020/6/1,310,2020
2020/7/1,380,2020
2020/8/1,1100,2020
2020/9/1,330,2020
2020/10/1,195,2020
2020/11/1,820,2020
2020/12/1,200,2020
2021/1/1,810,2020
2021/2/1,390,2020
2021/3/1,320,2020
2021/4/1,1010,2021
2021/5/1,195,2021
2021/6/1,300,2021
2021/7/1,280,2021
2021/8/1,150,2021
2021/9/1,375,2021
2021/10/1,135,2021
2021/11/1,190,2021
2021/12/1,200,2021
2022/1/1,145,2021
2022/2/1,120,2021
2022/3/1,195,2021
